year,country,impact
1948,USA,0.05655380393578934
1948,GBR,0.041198720081409616
1948,CAN,0.050861821712069606
1948,FRA,0.023668599050201414
1948,IND,0.023953965797566125
1948,ARG,0.02307295216360565
1948,AUS,0.02748771453286004
1948,DEU,0.026640304405718702
1948,NLD,0.013041719360933696
1948,ITA,0.017252161328485626
1948,BRA,0.028559982004013756
1948,SWE,0.012701652135339853
1948,VEN,0.025987688833061257
1948,CHE,0.00746782982231155
1948,ZAF,0.019311435889113965
1948,CUB,0.024925179126441294
1948,MEX,0.0263695967234827
1948,EGY,0.008204595216819778
1948,DNK,0.007472311594485725
1948,NOR,0.0018445427338782726
1948,PAK,0.011495378437946487
1948,PHL,0.021983203932686126
1948,NZL,0.016984823121773397
1948,DZA,0.012229025570990188
1948,ANT,0.012170996525103775
1948,IRN,0.009129829435189885
1948,JPN,0.012873736367077473
1948,IRL,0.014791086409070604
1948,FIN,0.0017369107159595704
1948,POL,-0.007152798285383587
1949,USA,0.05640897946999266
1949,GBR,0.043967356177246106
1949,CAN,0.05173508340305244
1949,FRA,0.022938701160854502
1949,DEU,0.026827097107475047
1949,IND,0.023559244786655806
1949,AUS,0.03092580035113176
1949,NLD,0.015531976524830985
1949,ITA,0.017662450468797494
1949,BRA,0.02782634632752279
1949,SWE,0.011909423028952416
1949,CHE,0.006041917349258623
1949,DNK,0.015582475168264383
1949,JPN,0.019145628700747885
1949,CUB,0.024258628099567164
1949,MEX,0.026062561082890987
1949,ZAF,0.01570541228473609
1949,NZL,0.02000414636978694
1949,NOR,0.005093995662108409
1949,EGY,0.004779408304999176
1949,ARG,0.0020315879603902765
1949,PHL,0.021138934966340134
1949,DZA,0.011688297781748439
1949,IDN,0.004547397100629067
1949,HKG,0.0014101564948739286
1949,VEN,0.018104352703450722
1949,PAK,0.0017395077826380461
1949,IRL,0.016086648236592383
1949,AUT,6.95336190236328e-05
1949,FIN,0.0010554319063528685
1950,USA,0.059570645297342906
1950,GBR,0.041856789845788944
1950,CAN,0.05359842831354491
1950,FRA,0.0262304964797347
1950,DEU,0.02337601358707055
1950,NLD,0.01756598762070109
1950,AUS,0.030145787291846925
1950,ITA,0.0165873314156691
1950,BRA,0.03149301810879258
1950,IND,0.020559863582929935
1950,SWE,0.013385946893584431
1950,CHE,0.008323116472664377
1950,JPN,0.021641934209223467
