ISO3,Lat,Lon
ABW,12.5,-69.96666666
AFG,33.0,65.0
AGO,-12.5,18.5
AIA,18.25,-63.16666666
ALB,41.0,20.0
ANT,17.05,-61.8
ARE,24.0,54.0
ARG,-34.0,-64.0
ARM,40.0,45.0
ASM,-14.33333333,-170.0
ATG,17.05,-61.8
AUS,-27.0,133.0
AUT,47.33333333,13.33333333
AZE,40.5,47.5
BDI,-3.5,30.0
BEL,50.83333333,4.0
BEN,9.5,2.25
BFA,13.0,-2.0
BGD,24.0,90.0
BGR,43.0,25.0
BHR,26.0,50.55
BHS,25.0343,-77.3963
BIH,44.0,18.0
BLR,53.0,28.0
BLZ,17.25,-88.75
BMU,32.33333333,-64.75
BOL,-17.0,-65.0
BRA,-10.0,-55.0
BRB,13.16666666,-59.53333333
BRN,4.5,114.66666666
BTN,27.5,90.5
BWA,-22.0,24.0
CAF,7.0,21.0
CAN,60.0,-95.0
CHE,47.0,8.0
CHL,-30.0,-71.0
CHN,35.0,105.0
CIV,8.0,-5.0
CMR,6.0,12.0
COD,0.0,25.0
COG,-1.0,15.0
COL,4.0,-72.0
COM,-12.16666666,44.25
CPV,16.5388,-23.0418
CRI,10.0,-84.0
CSK,,
CUB,21.5,-80.0
CUW,12.116667,-68.933333
CYP,35.0,33.0
CZE,49.75,15.5
DDR,,
DEU,51.0,9.0
DJI,11.5,43.0
DMA,15.41666666,-61.33333333
DNK,56.0,10.0
DOM,19.0,-70.66666666
DZA,28.0,3.0
ECU,-2.0,-77.5
EGY,27.0,30.0
ERI,15.0,39.0
ESP,40.0,-4.0
EST,59.0,26.0
ETH,8.0,38.0
FIN,64.0,26.0
FJI,-17.7134,178.065
FLK,-51.75,-59.0
FRA,46.0,2.0
FRO,62.0,-7.0
FSM,6.91666666,158.25
G001,,
G080,,
G092,,
G110,,
G163,,
G200,,
G205,,
G400,,
G505,,
G603,,
G903,,
G998,,
GAB,-1.0,11.75
GBR,54.0,-2.0
GEO,42.0,43.5
GHA,8.0,-2.0
GIB,36.13333333,-5.35
GIN,11.0,-10.0
GMB,13.46666666,-16.56666666
GNB,12.0,-15.0
GNQ,2.0,10.0
GRC,39.0,22.0
GRD,12.11666666,-61.66666666
GRL,72.0,-40.0
